,Submitted Time,Location(country),Age,Gender,Occupation,Are you a Medical Practitioner?,"If 5. is yes, Specify, If 5. is No, then skip this question", Do you use health tracking devices?,How often do you get to communicate with a doctor face to face?,How likely are you to trust a recommendation from an AI agent about your health?,Was the conversation with the diagnosis AI agent clear and consistent?,Are you more likely to stick to a healthier lifestyle if you had an AI agent to keep track of your health metrics?,How comfortable are you with sharing your personal data with an AI agent?,Have you applied for a loan in the past?,"If 13 is yes, How much control did you feel you had to influence the loan decision when dealing with a Human agent?", Type of Loan applied for?,Have you ever had your loan application process handled by a non-human agent?,Would you prefer to deal with an AI agent or a human agent for loan applications?,What problems do you think an AI loan application agent might solve?,What problems do you think an AI loan application might create?,How much control did you feel you had to influence the loan decision when dealing with an AI agent?,Are you more likely to take a loan if you dealt with an AI agent or a human agent?,How comfortable are you sharing personal data with an AI agent ?,How interested are you in real estate and real estate pricing?, Would you prefer to deal with a human Realtor vs. AI agent for understanding house prices?,What's the reason for your choice in 25.?,"How likely are you to trust the suggestions of an AI agent, if for instance it recommended that you could improve the value of your home by taking a certain action ?",How well do you understand the factors that can affect house prices?,How comfortable are you sharing your personal information with an AI agent?,What has been your overall experience using these agents?,How many years of coding/software experience do you have?,How useful have coding LLM's been for you?,What key problem do you feel an AI coding agent might create for you?,Which Coding assistant or app do you use regularly? you can list more than one.,Do you worry that you might lose your skill if you depend too much on AI assistance,"This Agent used for the survey is a demo, however, what has been your overall experience using it?"
1,02-07-2024 20:38:52,China,25-34,Male,Student,0,No Answer,0,1,3,3,5,4,Never,1,No Answer,0,3,Proper application evaluation,Critical thinking,1,1,3,5,1,To meet desired specific needs,3,4,4,Good,less than one year,3,None,Gpt,3,Clear
2,03-07-2024 00:39:08,China,35-44,Male,Self-employed,0,No Answer,0,2,3,3,3,2,Never,3,Business Loan,0,3,Solve biases,Technology issues,3,3,3,3,3,No Answer,3,3,3,No Answer,less than one year,1,No Answer,No Answer,3,No Answer
3,03-07-2024 12:30:48,United Kingdom,35-44,Female,Employed,1,General Practitioner,0,5,3,3,5,5,1-2 times,3,Personal loan,0,3,Ease of longer process,Errors in process,3,3,4,5,5,Ease of access to information,4,3,3,Good,less than one year,2,No Answer,No Answer,3,Easy to use and good
4,03-07-2024 13:39:32,China,35-44,Male,Student,0,No Answer,1,3,2,3,1,1,1-2 times,3,Personal loan,0,5,No Answer,No Answer,1,2,1,5,1,Humans are perfect,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer
5,03-07-2024 14:12:35,China,25-34,Male,Student,0,No Answer,0,1,2,1,3,2,Never,3,No Answer,0,3,No Answer,No Answer,3,3,3,3,3,No Answer,3,4,3,No Answer,3-5 years,4,No Answer,No Answer,5,No Answer
6,03-07-2024 14:49:37,China,35-44,Male,Student,0,No Answer,0,1,2,3,4,3,Never,No Answer,No Answer,0,4,Timely response,No Answer,1,3,3,5,1,There’s more flexibility and last minute change possibilities through human realtor than AI,3,5,3,Nil,less than one year,1,No Answer,No Answer,3,Nil
7,03-07-2024 14:55:14,China,35-44,Male,Student,1,yes,1,2,3,4,5,4,Never,3,Business Loan,0,4,Customer service,Lack of ability to do background check and ascertain veracity of client's case,5,4,3,5,1,I prefer to engage with human realtor as there's this human touch and emotional intelligence,3,5,4,Never used AI agent for this before,less than one year,1,Helpful in remembering codes for specific cases,Not applicable,5,No Answer
8,03-07-2024 14:56:41,China,25-34,Female,Self-employed,0,No Answer,0,3,1,3,3,3,Never,3,Business Loan,0,3,faster result,Unfair decision,3,4,3,4,5,"Matches my requirements more precisely, no extra recommendations, faster reply, no further follow up",5,3,4,No Answer,less than one year,3,No Answer,No Answer,No Answer,No Answer
9,03-07-2024 16:01:04,China,35-44,Male,Student,0,No Answer,No Answer,No Answer,4,No Answer,No Answer,No Answer,1-2 times,1,Personal loan,0,2,Slow application process,Capturing faces difficulties,1,4,2,4,5,It will not take any bribe from me,5,4,4,Easy process,less than one year,1,making errors without proper explanation for the mistakes,"R, Chat GPT",5,It's Ok
10,03-07-2024 16:27:51,Nigeria,35-44,Male,Self-employed,0,No Answer,0,1,2,2,3,5,1-2 times,5,Personal loan,0,1,It will solve the problem of intimidation and bullying that is sometimes encountered with human agen,None I can think of.,No Answer,5,5,5,1,I think human realtor is more in touch with the dynamic real estate business.,No Answer,1,5,Neutral,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer
